Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,1,Denver Broncos,0,1,0,Kickoff from NE 35,,Kickoff,"— A.Borregales kicks 65 yards from NE 35 to end zone, Touchback to the DEN 35."
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,1,Denver Broncos,0,2,0,1 Yard Run,1st & 10 at DEN 35,15:00 1st,— R.Harvey left guard to DEN 36 for 1 yard (R.Spillane).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,1,Denver Broncos,0,3,0,0 Yard Run,2nd & 9 at DEN 36,14:24 1st,— R.Harvey right guard to DEN 36 for no gain (A.Jennings; J.Hawkins).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,1,Denver Broncos,0,4,0,Pass Incomplete,3rd & 9 at DEN 36,13:42 1st Shotgun,— J.Stidham pass incomplete short right [E.Ponder].
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,1,Denver Broncos,0,5,0,Punt,4th & 9 at DEN 36,13:36 1st,"— J.Crawshaw punts 56 yards to NE 8, Center-M.Fraboni, out of bounds."
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,2,New England Patriots,0,1,0,5 Yard Run,1st & 10 at NE 8,13:30 1st,— T.Munford reported in as eligible. R.Stevenson up the middle to NE 13 for 5 yards (D.Jones; T.Hufanga).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,2,New England Patriots,0,2,0,1 Yard Run,2nd & 5 at NE 13,12:53 1st,— T.Munford reported in as eligible. R.Stevenson right guard to NE 14 for 1 yard (Z.Allen).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,2,New England Patriots,0,3,0,Pass Incomplete,3rd & 4 at NE 14,12:12 1st Shotgun,— D.Maye pass incomplete short left to S.Diggs (T.Hufanga).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,2,New England Patriots,0,4,0,Punt,4th & 4 at NE 14,12:08 1st,"— B.Baringer punts 44 yards to DEN 42, Center-J.Ashby. M.Mims to DEN 41 for -1 yards (B.Schooler)."
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,3,Denver Broncos,1,1,0,Pass Incomplete,1st & 10 at DEN 41,12:00 1st Shotgun,"— J.Stidham pass incomplete deep right to R.Harvey. PENALTY on DEN-R.Harvey, Illegal Touch Pass, 0 yards, enforced at DEN 41."
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,3,Denver Broncos,1,2,0,Pass Incomplete,2nd & 10 at DEN 41,11:52 1st Shotgun,— J.Stidham pass incomplete short right to M.Mims.
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,3,Denver Broncos,1,3,0,52 Yard Pass,3rd & 10 at DEN 41,11:49 1st Shotgun,— J.Stidham pass deep right to M.Mims to NE 7 for 52 yards (C.Gonzalez).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,3,Denver Broncos,1,4,0,Timeout,,11:06 1st,— Timeout #1 by DEN at 11:06.
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,3,Denver Broncos,1,5,0,1 Yard Run,1st & 7 at NE 7,11:06 1st,— P.Bryant right end to NE 6 for 1 yard (K.Chaisson).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,3,Denver Broncos,1,6,1,Touchdown,2nd & 6 at NE 6,10:24 1st,"— J.Stidham pass short right to C.Sutton for 6 yards, TOUCHDOWN."
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,3,Denver Broncos,1,7,1,Extra Point,,10:19 1st,"— W.Lutz extra point is GOOD, Center-M.Fraboni, Holder-J.Crawshaw."
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,4,New England Patriots,0,1,0,Kickoff from DEN 35,,Kickoff,— W.Lutz kicks 61 yards from DEN 35 to NE 4. D.Johnson to NE 33 for 29 yards (D.Tillman).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,4,New England Patriots,0,2,0,6 Yard Pass,1st & 10 at NE 33,10:14 1st Shotgun,— D.Maye pass short right to S.Diggs to NE 39 for 6 yards (A.Singleton).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,4,New England Patriots,0,3,0,3 Yard Run,2nd & 4 at NE 39,09:40 1st,— T.Munford reported in as eligible. R.Stevenson right tackle to NE 42 for 3 yards (J.Franklin-Myers; D.Greenlaw).
2025,CONFERENCE CHAMPIONSHIPS,Sunday,January 25th,NE,DEN,1st Quarter,4,New England Patriots,0,4,0,1 Yard Run,3rd & 1 at NE 42,09:02 1st Shotgun,— T.Munford and K.Tonga reported in as eligible. R.Stevenson right guard to NE 43 for 1 yard (P.Locke; D.Greenlaw).
