Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,1,0,Kickoff from BUF 35,,Kickoff,— M.Wishnowsky kicks 64 yards from BUF 35 to DEN 1. M.Mims to DEN 26 for 25 yards (D.Williams). BUF-D.Williams was injured during the play.
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,2,0,12 Yard Pass,1st & 10 at DEN 26,14:56 1st Shotgun,— B.Nix pass short right to P.Bryant to DEN 38 for 12 yards (T.White; C.Lewis).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,3,0,6 Yard Run,1st & 10 at DEN 38,14:19 1st,— J.McLaughlin right tackle to DEN 44 for 6 yards (D.Jones; G.Rousseau).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,4,0,15 Yard Pass,2nd & 4 at DEN 44,13:34 1st Shotgun,— B.Nix pass short right to P.Bryant to BUF 41 for 15 yards (Ta.Johnson).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,5,0,5 Yard Pass,1st & 10 at BUF 41,"12:59 1st No Huddle, Shotgun",— B.Nix pass short left to P.Bryant to BUF 36 for 5 yards (A.Epenesa; S.Thompson). DEN-P.Bryant was injured during the play.
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,6,0,4 Yard Pass,2nd & 5 at BUF 36,12:32 1st Shotgun,— B.Nix pass short right to L.Humphrey to BUF 32 for 4 yards (C.Bishop) [G.Rousseau].
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,7,0,5 Yard Run,3rd & 1 at BUF 32,11:47 1st Shotgun,— B.Nix right tackle to BUF 27 for 5 yards (C.Lewis).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,8,0,6 Yard Pass,1st & 10 at BUF 27,11:04 1st Shotgun,— B.Nix pass short left to R.Harvey to BUF 21 for 6 yards (Ta.Johnson).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,9,0,3 Yard Run,2nd & 4 at BUF 21,10:24 1st Shotgun,— B.Nix left end to BUF 18 for 3 yards (S.Thompson).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,10,0,0 Yard Run,3rd & 1 at BUF 18,09:47 1st,— B.Nix right guard to BUF 18 for no gain (J.Bosa). (Virtual Measurement).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,11,0,4 Yard Run,4th & 1 at BUF 18,09:07 1st,— B.Nix up the middle to BUF 14 for 4 yards (D.Walker).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,12,0,5 Yard Penalty,1st & 10 at BUF 14,08:29 1st,"— J.McLaughlin up the middle to BUF 11 for 3 yards (G.Rousseau). FUMBLES (G.Rousseau), touched at BUF 6, RECOVERED by BUF-C.Lewis at BUF 5. PENALTY on BUF-L.Ogunjobi, Defensive Offside, 5 yards, enforced at BUF 14 - No Play."
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,13,0,-1 Yard Run,1st & 5 at BUF 9,08:21 1st Shotgun,— F.Crum reported in as eligible. B.Nix left end to BUF 10 for -1 yards (S.Thompson).
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,14,0,Pass Incomplete,2nd & 6 at BUF 10,07:42 1st Shotgun,— B.Nix pass incomplete short right to L.Humphrey.
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,15,0,Pass Incomplete,3rd & 6 at BUF 10,07:37 1st Shotgun,— B.Nix pass incomplete short left to E.Engram.
2025,DIVISIONAL PLAYOFFS,Saturday,January 17th,BUF,DEN,1st Quarter,1,Denver Broncos,1,16,1,Field Goal,4th & 6 at BUF 10,07:33 1st,"— W.Lutz 28 yard field goal is GOOD, Center-M.Fraboni, Holder-J.Crawshaw."
