Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,1,0,Kickoff from NE 35,,Kickoff,"— A.Borregales kicks 65 yards from NE 35 to end zone, Touchback to the SEA 35."
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,2,0,10 Yard Run,1st & 10 at SEA 35,15:00 1st,— K.Walker left end pushed ob at SEA 45 for 10 yards (C.Davis).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,3,0,0 Yard Run,1st & 10 at SEA 45,14:29 1st,— K.Walker right tackle to SEA 45 for no gain (C.Barmore).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,4,0,15 Yard Pass,2nd & 10 at SEA 45,13:50 1st Shotgun,— S.Darnold pass short left to A.Barner to NE 40 for 15 yards (C.Woodson).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,5,0,23 Yard Pass,1st & 10 at NE 40,13:25 1st No Huddle,— S.Darnold pass deep left to C.Kupp pushed ob at NE 17 for 23 yards (M.Jones).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,6,0,Pass Incomplete,1st & 10 at NE 17,"12:58 1st No Huddle, Shotgun",— S.Darnold pass incomplete deep left.
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,7,0,3 Yard Run,2nd & 10 at NE 17,12:51 1st,— K.Walker right tackle to NE 14 for 3 yards (A.Jennings).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,8,0,Pass Incomplete,3rd & 7 at NE 14,12:06 1st Shotgun,— S.Darnold pass incomplete short left to R.Shaheed.
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,1,Seattle Seahawks,1,9,1,Field Goal,4th & 7 at NE 14,12:02 1st,"— J.Myers 33 yard field goal is GOOD, Center-C.Stoll, Holder-M.Dickson."
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,1,0,Kickoff from SEA 35,,Kickoff,— J.Myers kicks 65 yards from SEA 35 to NE 0. D.Johnson to NE 28 for 28 yards (D.Young).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,2,0,6 Yard Run,1st & 10 at NE 28,11:52 1st,— R.Stevenson up the middle to NE 34 for 6 yards (E.Jones).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,3,0,2 Yard Run,2nd & 4 at NE 34,11:21 1st,— R.Stevenson up the middle to NE 36 for 2 yards (E.Jones; D.Thomas).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,4,0,7 Yard Pass,3rd & 2 at NE 36,10:40 1st Shotgun,— D.Maye pass short left to R.Stevenson ran ob at NE 43 for 7 yards (D.Thomas) [U.Nwosu].
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,5,0,8 Yard Pass,1st & 10 at NE 43,10:04 1st,— D.Maye pass short left to D.Douglas to SEA 49 for 8 yards (E.Jones).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,6,0,4 Yard Run,2nd & 2 at SEA 49,09:28 1st,— R.Stevenson right tackle to SEA 45 for 4 yards (C.Bryant).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,7,0,-10 Yard Sack,1st & 10 at SEA 45,08:51 1st Shotgun,— D.Maye sacked at NE 45 for -10 yards (D.Hall).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,8,0,11 Yard Run,2nd & 20 at NE 45,08:09 1st Shotgun,— D.Maye scrambles right tackle to SEA 44 for 11 yards (N.Emmanwori).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,9,0,Pass Incomplete,3rd & 9 at SEA 44,07:23 1st Shotgun,— D.Maye pass incomplete deep right [D.Witherspoon].
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,2,New England Patriots,0,10,0,Punt,4th & 9 at SEA 44,07:18 1st,"— B.Baringer punts 34 yards to SEA 10, Center-J.Ashby, fair catch by R.Shaheed."
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,3,Seattle Seahawks,0,1,0,Pass Incomplete,1st & 10 at SEA 10,07:11 1st Shotgun,— S.Darnold pass incomplete short left to J.Smith-Njigba (C.Woodson) [A.Jennings].
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,3,Seattle Seahawks,0,2,0,4 Yard Pass,2nd & 10 at SEA 10,07:06 1st Shotgun,— S.Darnold pass short left to J.Smith-Njigba to SEA 14 for 4 yards (C.Davis).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,3,Seattle Seahawks,0,3,0,Pass Incomplete,3rd & 6 at SEA 14,06:22 1st Shotgun,— S.Darnold pass incomplete deep left to J.Smith-Njigba [J.Hawkins].
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,3,Seattle Seahawks,0,4,0,Punt,4th & 6 at SEA 14,06:15 1st,"— M.Dickson punts 50 yards to NE 36, Center-C.Stoll, fair catch by M.Jones."
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,4,New England Patriots,0,1,0,21 Yard Pass,1st & 10 at NE 36,06:07 1st,— T.Munford reported in as eligible. D.Maye pass deep left to K.Boutte to SEA 43 for 21 yards (J.Love).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,4,New England Patriots,0,2,0,-3 Yard Run,1st & 10 at SEA 43,05:33 1st Shotgun,— T.Henderson up the middle to SEA 46 for -3 yards (E.Jones).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,4,New England Patriots,0,3,0,-2 Yard Pass,2nd & 13 at SEA 46,04:53 1st Shotgun,— D.Maye pass short left to T.Henderson to SEA 48 for -2 yards (J.Jobe).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,4,New England Patriots,0,4,0,-10 Yard Sack,3rd & 15 at SEA 48,04:15 1st Shotgun,— D.Maye sacked at NE 42 for -10 yards (D.Witherspoon).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,4,New England Patriots,0,5,0,Punt,4th & 25 at NE 42,03:39 1st,"— B.Baringer punts 51 yards to SEA 7, Center-J.Ashby. R.Shaheed to SEA 13 for 6 yards (D.Pettus)."
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,5,Seattle Seahawks,0,1,0,2 Yard Run,1st & 10 at SEA 13,03:29 1st,— K.Walker right tackle to SEA 15 for 2 yards (C.Barmore; J.Gibbens).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,5,Seattle Seahawks,0,2,0,1 Yard Run,2nd & 8 at SEA 15,02:51 1st,— K.Walker left tackle to SEA 16 for 1 yard (C.Barmore).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,5,Seattle Seahawks,0,3,0,12 Yard Pass,3rd & 7 at SEA 16,02:07 1st Shotgun,— S.Darnold pass short right to A.Barner to SEA 28 for 12 yards (M.Jones).
2025,SUPER BOWL,Sunday,February 8th,SEA,NE,1st Quarter,5,Seattle Seahawks,0,4,0,-5 Yard Run,1st & 10 at SEA 28,01:25 1st,— R.Shaheed left end to SEA 23 for -5 yards (C.Woodson).
