Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,1,Carolina Panthers,0,1,0,Kickoff from LAR 35,,Kickoff,— E.Evans kicks 50 yards from LAR 35 to CAR 15. T.Etienne to CAR 36 for 21 yards (J.Stewart).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,1,Carolina Panthers,0,2,0,1 Yard Run,1st & 10 at CAR 36,14:57 1st,— R.Dowdle right tackle to CAR 37 for 1 yard (B.Fiske).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,1,Carolina Panthers,0,3,0,Pass Incomplete,2nd & 9 at CAR 37,14:18 1st Shotgun,— B.Young pass incomplete short left to X.Legette.
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,1,Carolina Panthers,0,4,0,8 Yard Pass,3rd & 9 at CAR 37,14:14 1st Shotgun,— B.Young pass short left to X.Legette to CAR 45 for 8 yards (K.Kinchens).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,1,Carolina Panthers,0,5,0,Pass Incomplete,4th & 1 at CAR 45,13:32 1st,— B.Young pass incomplete short right to J.Mitchell (Q.Lake).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,2,Los Angeles Rams,1,1,0,16 Yard Pass,1st & 10 at CAR 45,13:26 1st Shotgun,— M.Stafford pass short middle to P.Nacua to CAR 29 for 16 yards (T.Moehrig; D.Wonnum).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,2,Los Angeles Rams,1,2,0,5 Yard Run,1st & 10 at CAR 29,12:49 1st Shotgun,— K.Williams right guard to CAR 24 for 5 yards (N.Scourton).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,2,Los Angeles Rams,1,3,0,10 Yard Pass,2nd & 5 at CAR 24,12:17 1st,— M.Stafford pass short right to P.Nacua to CAR 14 for 10 yards (N.Scott).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,2,Los Angeles Rams,1,4,1,Touchdown,1st & 10 at CAR 14,11:39 1st Shotgun,"— M.Stafford pass short middle to P.Nacua for 14 yards, TOUCHDOWN."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,2,Los Angeles Rams,1,5,1,Extra Point,,11:35 1st,"— H.Mevis extra point is GOOD, Center-J.McQuaide, Holder-E.Evans."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,3,Carolina Panthers,0,1,0,Kickoff from LAR 35,,Kickoff,— E.Evans kicks 61 yards from LAR 35 to CAR 4. X.Legette to CAR 20 for 16 yards (J.Hunter).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,3,Carolina Panthers,0,2,0,7 Yard Pass,1st & 10 at CAR 20,11:31 1st Shotgun,— B.Young pass short middle to J.Coker to CAR 27 for 7 yards (Q.Lake).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,3,Carolina Panthers,0,3,0,5 Yard Run,2nd & 3 at CAR 27,10:58 1st,— C.Hubbard left guard to CAR 32 for 5 yards (K.Curl).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,3,Carolina Panthers,0,4,0,6 Yard Pass,1st & 10 at CAR 32,10:23 1st Shotgun,— B.Young pass short middle to C.Hubbard to CAR 38 for 6 yards (D.Johnson; N.Landman).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,3,Carolina Panthers,0,5,0,-5 Yard Sack,2nd & 4 at CAR 38,"09:54 1st No Huddle, Shotgun","— B.Young sacked at CAR 33 for -5 yards (B.Fiske). CAR-I.Ekwonu was injured during the play. Penalty on CAR-I.Ekwonu, Offensive Holding, declined."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,3,Carolina Panthers,0,6,0,Pass Incomplete,3rd & 9 at CAR 33,09:38 1st Shotgun,— B.Young pass incomplete deep left to T.McMillan.
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,3,Carolina Panthers,0,7,0,Punt,4th & 9 at CAR 33,09:34 1st,"— S.Martin punts 58 yards to LAR 9, Center-J.Jansen. X.Smith to LAR 7 for -2 yards (I.Simmons)."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,4,Los Angeles Rams,0,1,0,4 Yard Run,1st & 10 at LAR 7,09:25 1st,— B.Corum right tackle to LAR 11 for 4 yards (D.Brown).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,4,Los Angeles Rams,0,2,0,12 Yard Pass,2nd & 6 at LAR 11,08:42 1st Shotgun,— M.Stafford pass short middle to P.Nacua to LAR 23 for 12 yards (D.Wonnum).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,4,Los Angeles Rams,0,3,0,6 Yard Run,1st & 10 at LAR 23,07:59 1st,— B.Corum left tackle to LAR 29 for 6 yards (C.Cherelus).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,4,Los Angeles Rams,0,4,0,3 Yard Run,2nd & 4 at LAR 29,07:20 1st,— B.Corum left tackle to LAR 32 for 3 yards (A.Robinson; D.Wonnum).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,4,Los Angeles Rams,0,5,0,-1 Yard Run,3rd & 1 at LAR 32,06:35 1st,"— B.Corum left tackle to LAR 31 for -1 yards (T.Wharton, C.Cherelus)."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,4,Los Angeles Rams,0,6,0,Punt,4th & 2 at LAR 31,05:52 1st,"— E.Evans punts 50 yards to CAR 19, Center-J.McQuaide, out of bounds."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,5,Carolina Panthers,0,1,0,-9 Yard Sack,1st & 10 at CAR 19,05:43 1st,— B.Young sacked at CAR 10 for -9 yards (P.Ford).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,5,Carolina Panthers,0,2,0,11 Yard Pass,2nd & 19 at CAR 10,05:04 1st Shotgun,— B.Young pass short right to T.Tremble to CAR 21 for 11 yards (N.Landman; E.Forbes) [B.Young].
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,5,Carolina Panthers,0,3,0,11 Yard Pass,3rd & 8 at CAR 21,04:17 1st Shotgun,— B.Young pass short middle to J.Coker to CAR 32 for 11 yards (Q.Lake).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,5,Carolina Panthers,0,4,0,Pass Incomplete,1st & 10 at CAR 32,03:34 1st,— B.Young pass incomplete short right.
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,5,Carolina Panthers,0,5,0,4 Yard Run,2nd & 10 at CAR 32,03:28 1st Shotgun,— T.Etienne left tackle to CAR 36 for 4 yards (A.Witherspoon). LAR-A.Witherspoon was injured during the play.
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,5,Carolina Panthers,0,6,0,7 Yard Pass,3rd & 6 at CAR 36,02:56 1st Shotgun,— B.Young pass short right to T.Tremble to CAR 43 for 7 yards (J.McCollough) [K.Turner].
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,5,Carolina Panthers,0,7,0,13 Yard Pass,1st & 10 at CAR 43,02:16 1st Shotgun,— B.Young pass short middle to T.McMillan to LAR 44 for 13 yards (K.Curl; Q.Lake).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,1st Quarter,5,Carolina Panthers,0,8,0,Interception,1st & 10 at LAR 44,01:24 1st Shotgun,"— B.Young pass deep middle intended for J.Coker INTERCEPTED by C.Durant (Q.Lake) at LAR 26. C.Durant ran ob at LAR 37 for 11 yards (B.Young). PENALTY on CAR-M.Evans, Unnecessary Roughness, 15 yards, enforced at LAR 37."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,1,Los Angeles Rams,1,1,0,8 Yard Run,1st & 10 at CAR 48,01:17 1st,— K.Williams left tackle to CAR 40 for 8 yards (N.Scott; C.Cherelus).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,1,Los Angeles Rams,1,2,0,15 Yard Pass,2nd & 2 at CAR 40,00:39 1st,— M.Stafford pass short middle to C.Parkinson to CAR 25 for 15 yards (C.Rozeboom; N.Scott).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,1,Los Angeles Rams,1,3,0,6 Yard Run,1st & 10 at CAR 25,15:00 2nd,— K.Williams up the middle to CAR 19 for 6 yards (C.Rozeboom; N.Scott).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,1,Los Angeles Rams,1,4,0,2 Yard Run,2nd & 4 at CAR 19,14:20 2nd,— K.Williams right guard to CAR 17 for 2 yards (B.Brown).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,1,Los Angeles Rams,1,5,0,7 Yard Pass,3rd & 2 at CAR 17,13:41 2nd Shotgun,— M.Stafford pass short left to P.Nacua to CAR 10 for 7 yards (C.Rozeboom).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,1,Los Angeles Rams,1,6,0,5 Yard Run,1st & 10 at CAR 10,13:02 2nd,— K.Williams right end to CAR 5 for 5 yards (C.Rozeboom).
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,1,Los Angeles Rams,1,7,1,Touchdown,2nd & 5 at CAR 5,12:21 2nd,"— P.Nacua left tackle for 5 yards, TOUCHDOWN."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,1,Los Angeles Rams,1,8,1,Extra Point,,12:16 2nd,"— H.Mevis extra point is GOOD, Center-J.McQuaide, Holder-E.Evans."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,2,Carolina Panthers,1,1,0,Kickoff from LAR 35,,Kickoff,"— E.Evans kicks 65 yards from LAR 35 to end zone, Touchback to the CAR 35."
2025,WILD CARD WEEKEND,Saturday,January 10th,LAR,CAR,2nd Quarter,2,Carolina Panthers,1,2,0,3 Yard Run,1st & 10 at CAR 35,12:16 2nd Shotgun,— C.Hubbard up the middle to CAR 38 for 3 yards (N.Landman; P.Ford). ** Injury Update: LAR-A.Witherspoon has returned to the game.
